﻿ Consumption
 Time, Wh 
  05/10/2025 01:00 , 0 
  05/10/2025 01:01 , 0 
  05/10/2025 01:02 , 0 
  05/10/2025 01:03 , 0 
  05/10/2025 01:04 , 0 
  05/10/2025 01:05 , 0 
  05/10/2025 01:06 , 0 
  05/10/2025 01:07 , 0 
  05/10/2025 01:08 , 0 
  05/10/2025 01:09 , 0 
  05/10/2025 01:10 , 0 
  05/10/2025 01:11 , 0 
  05/10/2025 01:12 , 0 
  05/10/2025 01:13 , 0 
  05/10/2025 01:14 , 0 
  05/10/2025 01:15 , 0 
  05/10/2025 01:16 , 0 
  05/10/2025 01:17 , 0 
  05/10/2025 01:18 , 0 
  05/10/2025 01:19 , 0 
  05/10/2025 01:20 , 0 
  05/10/2025 01:21 , 0 
  05/10/2025 01:22 , 0 
  05/10/2025 01:23 , 0 
  05/10/2025 01:24 , 0 
  05/10/2025 01:25 , 0 
  05/10/2025 01:26 , 0 
  05/10/2025 01:27 , 0 
  05/10/2025 01:28 , 0 
  05/10/2025 01:29 , 0 
  05/10/2025 01:30 , 44.38 
  05/10/2025 01:31 , 60.89 
  05/10/2025 01:32 , 60.89 
  05/10/2025 01:33 , 61 
  05/10/2025 01:34 , 61 
  05/10/2025 01:35 , 61.08 
  05/10/2025 01:36 , 61.11 
  05/10/2025 01:37 , 61.12 
  05/10/2025 01:38 , 61.1 
  05/10/2025 01:39 , 61.1 
  05/10/2025 01:40 , 61.12 
  05/10/2025 01:41 , 61.17 
  05/10/2025 01:42 , 61.13 
  05/10/2025 01:43 , 61.13 
  05/10/2025 01:44 , 61.14 
  05/10/2025 01:45 , 61.14 
  05/10/2025 01:46 , 61.21 
  05/10/2025 01:47 , 61.21 
  05/10/2025 01:48 , 61.13 
  05/10/2025 01:49 , 61.09 
  05/10/2025 01:50 , 61.09 
  05/10/2025 01:51 , 61.09 
  05/10/2025 01:52 , 61.19 
  05/10/2025 01:53 , 61.22 
  05/10/2025 01:54 , 61.18 
  05/10/2025 01:55 , 61.18 
  05/10/2025 01:56 , 61.17 
  05/10/2025 01:57 , 61.17 
  05/10/2025 01:58 , 61.17 
  05/10/2025 01:59 , 61.18 
 
 Total returned
 Time, Wh 
  05/10/2025 01:00 , 0 
  05/10/2025 01:01 , 0 
  05/10/2025 01:02 , 0 
  05/10/2025 01:03 , 0 
  05/10/2025 01:04 , 0 
  05/10/2025 01:05 , 0 
  05/10/2025 01:06 , 0 
  05/10/2025 01:07 , 0 
  05/10/2025 01:08 , 0 
  05/10/2025 01:09 , 0 
  05/10/2025 01:10 , 0 
  05/10/2025 01:11 , 0 
  05/10/2025 01:12 , 0 
  05/10/2025 01:13 , 0 
  05/10/2025 01:14 , 0 
  05/10/2025 01:15 , 0 
  05/10/2025 01:16 , 0 
  05/10/2025 01:17 , 0 
  05/10/2025 01:18 , 0 
  05/10/2025 01:19 , 0 
  05/10/2025 01:20 , 0 
  05/10/2025 01:21 , 0 
  05/10/2025 01:22 , 0 
  05/10/2025 01:23 , 0 
  05/10/2025 01:24 , 0 
  05/10/2025 01:25 , 0 
  05/10/2025 01:26 , 0 
  05/10/2025 01:27 , 0 
  05/10/2025 01:28 , 0 
  05/10/2025 01:29 , 0 
  05/10/2025 01:30 , 0 
  05/10/2025 01:31 , 0 
  05/10/2025 01:32 , 0 
  05/10/2025 01:33 , 0 
  05/10/2025 01:34 , 0 
  05/10/2025 01:35 , 0 
  05/10/2025 01:36 , 0 
  05/10/2025 01:37 , 0 
  05/10/2025 01:38 , 0 
  05/10/2025 01:39 , 0 
  05/10/2025 01:40 , 0 
  05/10/2025 01:41 , 0 
  05/10/2025 01:42 , 0 
  05/10/2025 01:43 , 0 
  05/10/2025 01:44 , 0 
  05/10/2025 01:45 , 0 
  05/10/2025 01:46 , 0 
  05/10/2025 01:47 , 0 
  05/10/2025 01:48 , 0 
  05/10/2025 01:49 , 0 
  05/10/2025 01:50 , 0 
  05/10/2025 01:51 , 0 
  05/10/2025 01:52 , 0 
  05/10/2025 01:53 , 0 
  05/10/2025 01:54 , 0 
  05/10/2025 01:55 , 0 
  05/10/2025 01:56 , 0 
  05/10/2025 01:57 , 0 
  05/10/2025 01:58 , 0 
  05/10/2025 01:59 , 0 
 
