﻿ Consumption
 Time, Wh 
  19/10/2025 22:00 , 61.65 
  19/10/2025 22:01 , 61.7 
  19/10/2025 22:02 , 61.7 
  19/10/2025 22:03 , 61.63 
  19/10/2025 22:04 , 61.65 
  19/10/2025 22:05 , 61.65 
  19/10/2025 22:06 , 61.62 
  19/10/2025 22:07 , 61.62 
  19/10/2025 22:08 , 61.58 
  19/10/2025 22:09 , 61.58 
  19/10/2025 22:10 , 61.56 
  19/10/2025 22:11 , 61.56 
  19/10/2025 22:12 , 61.55 
  19/10/2025 22:13 , 61.57 
  19/10/2025 22:14 , 61.64 
  19/10/2025 22:15 , 61.7 
  19/10/2025 22:16 , 61.7 
  19/10/2025 22:17 , 61.67 
  19/10/2025 22:18 , 61.67 
  19/10/2025 22:19 , 61.63 
  19/10/2025 22:20 , 61.63 
  19/10/2025 22:21 , 61.69 
  19/10/2025 22:22 , 61.69 
  19/10/2025 22:23 , 61.61 
  19/10/2025 22:24 , 61.62 
  19/10/2025 22:25 , 61.69 
  19/10/2025 22:26 , 61.68 
  19/10/2025 22:27 , 61.7 
  19/10/2025 22:28 , 61.69 
  19/10/2025 22:29 , 61.66 
  19/10/2025 22:30 , 61.72 
  19/10/2025 22:31 , 61.73 
  19/10/2025 22:32 , 61.64 
  19/10/2025 22:33 , 61.67 
  19/10/2025 22:34 , 61.67 
  19/10/2025 22:35 , 61.73 
  19/10/2025 22:36 , 60.67 
  19/10/2025 22:37 , 61.66 
  19/10/2025 22:38 , 61.66 
  19/10/2025 22:39 , 61.66 
  19/10/2025 22:40 , 61.67 
  19/10/2025 22:41 , 61.68 
  19/10/2025 22:42 , 61.68 
  19/10/2025 22:43 , 61.65 
  19/10/2025 22:44 , 61.68 
  19/10/2025 22:45 , 61.7 
  19/10/2025 22:46 , 61.7 
  19/10/2025 22:47 , 61.69 
  19/10/2025 22:48 , 61.68 
  19/10/2025 22:49 , 61.68 
  19/10/2025 22:50 , 61.7 
  19/10/2025 22:51 , 61.73 
  19/10/2025 22:52 , 61.73 
  19/10/2025 22:53 , 61.75 
  19/10/2025 22:54 , 61.75 
  19/10/2025 22:55 , 61.73 
  19/10/2025 22:56 , 61.76 
  19/10/2025 22:57 , 61.76 
  19/10/2025 22:58 , 52.79 
  19/10/2025 22:59 , 33.78 
 
 Total returned
 Time, Wh 
  19/10/2025 22:00 , 0 
  19/10/2025 22:01 , 0 
  19/10/2025 22:02 , 0 
  19/10/2025 22:03 , 0 
  19/10/2025 22:04 , 0 
  19/10/2025 22:05 , 0 
  19/10/2025 22:06 , 0 
  19/10/2025 22:07 , 0 
  19/10/2025 22:08 , 0 
  19/10/2025 22:09 , 0 
  19/10/2025 22:10 , 0 
  19/10/2025 22:11 , 0 
  19/10/2025 22:12 , 0 
  19/10/2025 22:13 , 0 
  19/10/2025 22:14 , 0 
  19/10/2025 22:15 , 0 
  19/10/2025 22:16 , 0 
  19/10/2025 22:17 , 0 
  19/10/2025 22:18 , 0 
  19/10/2025 22:19 , 0 
  19/10/2025 22:20 , 0 
  19/10/2025 22:21 , 0 
  19/10/2025 22:22 , 0 
  19/10/2025 22:23 , 0 
  19/10/2025 22:24 , 0 
  19/10/2025 22:25 , 0 
  19/10/2025 22:26 , 0 
  19/10/2025 22:27 , 0 
  19/10/2025 22:28 , 0 
  19/10/2025 22:29 , 0 
  19/10/2025 22:30 , 0 
  19/10/2025 22:31 , 0 
  19/10/2025 22:32 , 0 
  19/10/2025 22:33 , 0 
  19/10/2025 22:34 , 0 
  19/10/2025 22:35 , 0 
  19/10/2025 22:36 , 0 
  19/10/2025 22:37 , 0 
  19/10/2025 22:38 , 0 
  19/10/2025 22:39 , 0 
  19/10/2025 22:40 , 0 
  19/10/2025 22:41 , 0 
  19/10/2025 22:42 , 0 
  19/10/2025 22:43 , 0 
  19/10/2025 22:44 , 0 
  19/10/2025 22:45 , 0 
  19/10/2025 22:46 , 0 
  19/10/2025 22:47 , 0 
  19/10/2025 22:48 , 0 
  19/10/2025 22:49 , 0 
  19/10/2025 22:50 , 0 
  19/10/2025 22:51 , 0 
  19/10/2025 22:52 , 0 
  19/10/2025 22:53 , 0 
  19/10/2025 22:54 , 0 
  19/10/2025 22:55 , 0 
  19/10/2025 22:56 , 0 
  19/10/2025 22:57 , 0 
  19/10/2025 22:58 , 0 
  19/10/2025 22:59 , 0 
 
