﻿ Consumption
 Time, Wh 
  19/10/2025 20:00 , 0 
  19/10/2025 20:01 , 0 
  19/10/2025 20:02 , 0 
  19/10/2025 20:03 , 0 
  19/10/2025 20:04 , 0 
  19/10/2025 20:05 , 0 
  19/10/2025 20:06 , 0 
  19/10/2025 20:07 , 0 
  19/10/2025 20:08 , 0 
  19/10/2025 20:09 , 0 
  19/10/2025 20:10 , 0 
  19/10/2025 20:11 , 0 
  19/10/2025 20:12 , 0 
  19/10/2025 20:13 , 0 
  19/10/2025 20:14 , 0 
  19/10/2025 20:15 , 0 
  19/10/2025 20:16 , 0 
  19/10/2025 20:17 , 0 
  19/10/2025 20:18 , 0 
  19/10/2025 20:19 , 0 
  19/10/2025 20:20 , 0 
  19/10/2025 20:21 , 0 
  19/10/2025 20:22 , 0 
  19/10/2025 20:23 , 0 
  19/10/2025 20:24 , 0 
  19/10/2025 20:25 , 0 
  19/10/2025 20:26 , 0 
  19/10/2025 20:27 , 0 
  19/10/2025 20:28 , 0 
  19/10/2025 20:29 , 0 
  19/10/2025 20:30 , 44.1 
  19/10/2025 20:31 , 60.92 
  19/10/2025 20:32 , 60.93 
  19/10/2025 20:33 , 60.99 
  19/10/2025 20:34 , 61.02 
  19/10/2025 20:35 , 61.06 
  19/10/2025 20:36 , 61.08 
  19/10/2025 20:37 , 61.08 
  19/10/2025 20:38 , 61.08 
  19/10/2025 20:39 , 61.14 
  19/10/2025 20:40 , 61.14 
  19/10/2025 20:41 , 61.24 
  19/10/2025 20:42 , 61.24 
  19/10/2025 20:43 , 61.27 
  19/10/2025 20:44 , 61.34 
  19/10/2025 20:45 , 61.36 
  19/10/2025 20:46 , 61.36 
  19/10/2025 20:47 , 61.3 
  19/10/2025 20:48 , 61.3 
  19/10/2025 20:49 , 61.33 
  19/10/2025 20:50 , 61.33 
  19/10/2025 20:51 , 61.35 
  19/10/2025 20:52 , 61.37 
  19/10/2025 20:53 , 61.37 
  19/10/2025 20:54 , 61.34 
  19/10/2025 20:55 , 61.38 
  19/10/2025 20:56 , 61.36 
  19/10/2025 20:57 , 61.36 
  19/10/2025 20:58 , 61.38 
  19/10/2025 20:59 , 61.39 
 
 Total returned
 Time, Wh 
  19/10/2025 20:00 , 0 
  19/10/2025 20:01 , 0 
  19/10/2025 20:02 , 0 
  19/10/2025 20:03 , 0 
  19/10/2025 20:04 , 0 
  19/10/2025 20:05 , 0 
  19/10/2025 20:06 , 0 
  19/10/2025 20:07 , 0 
  19/10/2025 20:08 , 0 
  19/10/2025 20:09 , 0 
  19/10/2025 20:10 , 0 
  19/10/2025 20:11 , 0 
  19/10/2025 20:12 , 0 
  19/10/2025 20:13 , 0 
  19/10/2025 20:14 , 0 
  19/10/2025 20:15 , 0 
  19/10/2025 20:16 , 0 
  19/10/2025 20:17 , 0 
  19/10/2025 20:18 , 0 
  19/10/2025 20:19 , 0 
  19/10/2025 20:20 , 0 
  19/10/2025 20:21 , 0 
  19/10/2025 20:22 , 0 
  19/10/2025 20:23 , 0 
  19/10/2025 20:24 , 0 
  19/10/2025 20:25 , 0 
  19/10/2025 20:26 , 0 
  19/10/2025 20:27 , 0 
  19/10/2025 20:28 , 0 
  19/10/2025 20:29 , 0 
  19/10/2025 20:30 , 0 
  19/10/2025 20:31 , 0 
  19/10/2025 20:32 , 0 
  19/10/2025 20:33 , 0 
  19/10/2025 20:34 , 0 
  19/10/2025 20:35 , 0 
  19/10/2025 20:36 , 0 
  19/10/2025 20:37 , 0 
  19/10/2025 20:38 , 0 
  19/10/2025 20:39 , 0 
  19/10/2025 20:40 , 0 
  19/10/2025 20:41 , 0 
  19/10/2025 20:42 , 0 
  19/10/2025 20:43 , 0 
  19/10/2025 20:44 , 0 
  19/10/2025 20:45 , 0 
  19/10/2025 20:46 , 0 
  19/10/2025 20:47 , 0 
  19/10/2025 20:48 , 0 
  19/10/2025 20:49 , 0 
  19/10/2025 20:50 , 0 
  19/10/2025 20:51 , 0 
  19/10/2025 20:52 , 0 
  19/10/2025 20:53 , 0 
  19/10/2025 20:54 , 0 
  19/10/2025 20:55 , 0 
  19/10/2025 20:56 , 0 
  19/10/2025 20:57 , 0 
  19/10/2025 20:58 , 0 
  19/10/2025 20:59 , 0 
 
